epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1169.77,0.61627,0.13197,0.10885,0.39043,0.89468,0.9992,1,0.995,0.83311,0.9992,1,0.995,0.98832,0.62112,0.07265,0.0066,0.36985,0.87237,0.0014456,0.0014456,0.0014456
58,1190.84,0.57363,0.11294,0.08405,0.38275,0.85654,0.99921,1,0.995,0.82443,0.99921,1,0.995,0.99036,0.59565,0.06202,0.00741,0.36411,0.86615,0.0014357,0.0014357,0.0014357
59,1211.84,0.60743,0.11049,0.13566,0.38651,0.87512,0.98571,0.98649,0.98122,0.83448,0.99921,1,0.995,0.9927,0.58895,0.06114,0.0074,0.35711,0.86767,0.0014258,0.0014258,0.0014258
60,1232.78,0.60135,0.12343,0.11375,0.38052,0.85992,0.98565,0.98649,0.9773,0.8446,0.99915,1,0.995,0.995,0.57574,0.06534,0.00752,0.34871,0.85764,0.0014159,0.0014159,0.0014159
61,1253.23,0.58042,0.10041,0.08368,0.37124,0.85877,0.98566,0.98649,0.97703,0.84763,0.99918,1,0.995,0.995,0.5543,0.05641,0.00851,0.34465,0.85346,0.001406,0.001406,0.001406
62,1274.15,0.55919,0.07437,0.11336,0.36744,0.87356,0.98566,0.98649,0.97703,0.84763,0.99918,1,0.995,0.995,0.5543,0.05641,0.00851,0.34465,0.85346,0.0013961,0.0013961,0.0013961
63,1295.65,0.6277,0.12659,0.09484,0.39097,0.85044,0.98568,0.98649,0.98014,0.79134,0.99919,1,0.995,0.99342,0.67208,0.04825,0.0092,0.36908,0.89139,0.0013862,0.0013862,0.0013862
64,1316.12,0.62094,0.11495,0.10041,0.3992,0.88175,0.99921,1,0.995,0.8155,0.99921,1,0.995,0.995,0.63186,0.04906,0.0094,0.37089,0.88427,0.0013763,0.0013763,0.0013763
65,1336.47,0.64838,0.08318,0.07806,0.37688,0.86393,0.99921,1,0.995,0.81092,0.99921,1,0.995,0.995,0.68368,0.05061,0.00897,0.36774,0.88612,0.0013664,0.0013664,0.0013664
66,1356.7,0.68782,0.12544,0.12072,0.39961,0.88271,0.99921,1,0.995,0.81431,0.99921,1,0.995,0.99281,0.67553,0.05209,0.00862,0.36178,0.88922,0.0013565,0.0013565,0.0013565
67,1377,0.66406,0.10717,0.0975,0.38729,0.86716,0.99919,1,0.995,0.76045,0.99919,1,0.995,0.98789,0.75879,0.05866,0.00893,0.39461,0.94817,0.0013466,0.0013466,0.0013466
68,1396.89,0.7268,0.11541,0.1082,0.4054,0.8923,0.99917,1,0.995,0.78444,0.99917,1,0.995,0.99156,0.71868,0.06217,0.00851,0.38482,0.9178,0.0013367,0.0013367,0.0013367
69,1416.9,0.68494,0.09904,0.09098,0.40557,0.89587,0.99919,1,0.995,0.83279,0.99919,1,0.995,0.99139,0.63436,0.06531,0.00829,0.36779,0.86687,0.0013268,0.0013268,0.0013268
70,1436.85,0.64098,0.10506,0.09717,0.3904,0.8775,0.99919,1,0.995,0.83279,0.99919,1,0.995,0.99139,0.63436,0.06531,0.00829,0.36779,0.86687,0.0013169,0.0013169,0.0013169
