epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1292.15,0.90757,0.86072,0.98504,0.99471,1,0.995,0.60787,1.24596,0.78151,1.07139,0.0007526,0.0007526,0.0007526
65,1312.31,0.98711,0.79633,1.02897,0.99581,1,0.995,0.58784,1.28003,0.76505,1.08695,0.0007328,0.0007328,0.0007328
66,1332.11,1.00255,0.84313,1.02312,0.9957,1,0.995,0.62752,1.13996,0.75111,1.0311,0.000713,0.000713,0.000713
67,1351.96,0.9288,0.81597,0.99975,0.99688,1,0.995,0.71818,0.92321,0.73784,0.96001,0.0006932,0.0006932,0.0006932
68,1371.63,0.9116,0.83749,1.0012,0.99613,1,0.995,0.74197,0.87165,0.74509,0.9427,0.0006734,0.0006734,0.0006734
69,1391.6,0.96223,0.79142,1.01076,0.99794,1,0.995,0.7336,0.86554,0.76272,0.94486,0.0006536,0.0006536,0.0006536
70,1411.6,0.91857,0.80535,1.00043,0.99794,1,0.995,0.7336,0.86554,0.76272,0.94486,0.0006338,0.0006338,0.0006338
71,1431.64,0.90634,0.80356,1.01138,0.97353,0.99389,0.99393,0.68445,0.94978,0.78457,0.98049,0.000614,0.000614,0.000614
72,1451.61,0.92162,0.82824,1.01509,0.96407,1,0.99368,0.65968,1.02547,0.78555,0.99845,0.0005942,0.0005942,0.0005942
73,1471.93,0.94906,0.81475,1.02245,0.97276,0.96505,0.99329,0.66651,1.01958,0.79285,0.98744,0.0005744,0.0005744,0.0005744
74,1492.78,0.93113,0.84479,0.99278,0.9813,0.98649,0.99425,0.68483,1.00615,0.79436,0.9744,0.0005546,0.0005546,0.0005546
75,1513.02,0.91888,0.81219,0.9792,0.98662,0.99649,0.99487,0.69491,0.97075,0.80089,0.95538,0.0005348,0.0005348,0.0005348
76,1532.77,0.90903,0.8147,0.97855,0.95835,1,0.99229,0.68017,0.98599,0.8092,0.958,0.000515,0.000515,0.000515
77,1552.48,0.9109,0.75124,0.96828,0.98499,1,0.995,0.66188,1.02921,0.82856,0.97966,0.0004952,0.0004952,0.0004952
78,1572.27,0.87869,0.7442,0.96692,0.98499,1,0.995,0.66188,1.02921,0.82856,0.97966,0.0004754,0.0004754,0.0004754
79,1591.81,0.90525,0.82546,0.99633,0.9867,1,0.995,0.63588,1.06323,0.842,0.99898,0.0004556,0.0004556,0.0004556
80,1611.89,0.89092,0.8044,0.99969,0.98322,1,0.9934,0.63965,1.05775,0.82182,1.00258,0.0004358,0.0004358,0.0004358
81,1631.51,0.90684,0.78231,0.99576,0.99995,1,0.995,0.68921,0.9696,0.7647,0.97129,0.000416,0.000416,0.000416
82,1651.2,0.88832,0.7752,0.97789,0.98649,0.98683,0.99487,0.70399,0.96684,0.74824,0.96862,0.0003962,0.0003962,0.0003962
83,1670.99,0.87244,0.74084,0.97012,0.98654,0.99067,0.99487,0.72247,0.92867,0.70842,0.95772,0.0003764,0.0003764,0.0003764
84,1690.76,0.85551,0.80181,0.9762,0.99191,0.98649,0.99487,0.71851,0.95267,0.70849,0.96944,0.0003566,0.0003566,0.0003566
85,1710.68,0.89714,0.77564,1.00541,0.98584,1,0.995,0.70325,0.97921,0.73299,0.98099,0.0003368,0.0003368,0.0003368
86,1730.82,0.89409,0.80702,0.98421,0.98584,1,0.995,0.70325,0.97921,0.73299,0.98099,0.000317,0.000317,0.000317
87,1750.97,0.90843,0.81862,1.01359,0.96056,0.98747,0.99298,0.67104,0.99668,0.76418,0.9895,0.0002972,0.0002972,0.0002972
88,1771.98,0.81778,0.76127,0.97558,0.9472,1,0.99102,0.66058,1.00793,0.78618,0.99271,0.0002774,0.0002774,0.0002774
89,1791.92,0.86465,0.74555,0.99668,0.94578,1,0.99113,0.66143,0.98281,0.78159,0.98074,0.0002576,0.0002576,0.0002576
90,1810.04,0.85981,0.7654,0.96901,0.94975,0.98649,0.99052,0.67143,0.97789,0.76099,0.97401,0.0002378,0.0002378,0.0002378
91,1828.61,0.81806,0.75624,0.95236,0.94805,1,0.98921,0.67119,0.97263,0.75318,0.96786,0.000218,0.000218,0.000218
92,1849.01,0.8221,0.7329,0.96234,0.95231,1,0.9881,0.67235,0.98906,0.74892,0.96876,0.0001982,0.0001982,0.0001982
93,1869.18,0.76333,0.74245,0.94084,0.95179,1,0.98889,0.6617,1.02259,0.75414,0.97884,0.0001784,0.0001784,0.0001784
94,1889.37,0.7742,0.76205,0.9305,0.95179,1,0.98889,0.6617,1.02259,0.75414,0.97884,0.0001586,0.0001586,0.0001586
95,1909.57,0.7945,0.73647,0.93908,0.95151,1,0.99034,0.65145,1.0537,0.75909,0.98943,0.0001388,0.0001388,0.0001388
96,1929.57,0.81355,0.69153,0.94931,0.97058,1,0.99433,0.64691,1.06374,0.75345,0.99126,0.000119,0.000119,0.000119
97,1949.29,0.77,0.70026,0.94835,0.98313,1,0.995,0.668,1.04658,0.73473,0.98429,9.92e-05,9.92e-05,9.92e-05
98,1969.05,0.80375,0.7078,0.94334,0.99167,1,0.995,0.68162,1.01769,0.71939,0.97526,7.94e-05,7.94e-05,7.94e-05
99,1988.77,0.78912,0.71017,0.94656,0.9937,1,0.995,0.69546,0.99072,0.71243,0.96794,5.96e-05,5.96e-05,5.96e-05
100,2008.5,0.80856,0.71813,0.9566,0.996,1,0.995,0.70284,0.97541,0.70658,0.96296,3.98e-05,3.98e-05,3.98e-05
